data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2025-07-08 17:53:54.825061;76;Belo Horizonte;Olivia Sousa;Smartwatch Sansung M3;Jason Weiss;masculino;pix
2025-09-28 15:29:54.825439;77;Florianopoles;Isabale Gomes;Smartwatch Sansung M3;Sandra Hensley;femasculino;pix
2025-08-15 17:34:54.825761;78;Recife;Bruno Otavio;Smartphone Sansung Galaxy;Robert Mees;masculino;pix
2025-04-26 19:30:54.833991;79;Florianopoles;Paulo de Sousa;Playstation 5;Otto Garcia;masculino;boleto
2025-04-03 11:23:54.834347;80;Copa Cabana;Carlos Silva;Smartphone Sansung Galaxy;Juan Summers;masculino;dinheiro
2025-02-26 18:45:54.834662;81;São Paulo;Ana Oliveira;Playstation 5;Linda Hinds;femasculino;cartão de crédito
2025-07-11 18:35:54.835529;82;Copa Cabana;Carlos Silva;Cama Solteiro Ortobom;Joan Andrews;femasculino;dinheiro
2025-02-22 16:41:54.835725;83;Belo Horizonte;Joana Silva;Cama Solteiro Ortobom;Paul Ritter;masculino;pix
2025-11-13 11:16:54.836241;84;Recife;João Victor;Smartwatch Sansung M3;Kimberly Cornelius;femasculino;cartão de crédito
2025-08-10 10:45:54.837051;85;São Paulo;Ana Oliveira;Smartphone Sansung Galaxy;Donald Robbins;masculino;pix
2025-06-17 13:30:54.837312;86;Recife;João Victor;Cama Solteiro Ortobom;Cody Ortega;masculino;dinheiro
2025-05-01 13:15:54.837646;87;São Paulo;Lucas Pereira;Cama Solteiro Ortobom;Eric Mullenbach;masculino;pix
2025-08-17 10:12:54.851098;88;Copa Cabana;Carlos Silva;Cama Solteiro Ortobom;Stephan Perez;masculino;dinheiro
2026-01-12 10:27:54.851518;89;Belo Horizonte;Joana Silva;Cama Solteiro Ortobom;Gladys Mccoy;femasculino;cartão de crédito
2025-02-03 17:31:54.851752;90;São Paulo;Lucas Pereira;Smartwatch Sansung M3;Anna Farmer;femasculino;boleto
2025-12-22 16:31:54.852005;91;São Paulo;Ana Oliveira;Smartwatch Sansung M3;Joel Joy;masculino;pix
2025-04-03 14:03:54.853099;92;Florianopoles;Isabale Gomes;Smartphone Sansung Galaxy;Brenda Severn;femasculino;cartão de crédito
2025-03-09 17:37:54.869639;93;Florianopoles;Paulo de Sousa;Geladeira Sansung;Brenda Greely;femasculino;cartão de crédito
2025-08-17 16:07:54.880462;94;Florianopoles;Paulo de Sousa;Smartphone Sansung Galaxy;Nell Mattox;femasculino;pix
2025-11-23 20:04:54.882466;95;Belo Horizonte;Olivia Sousa;Smartwatch Sansung M3;Helen Ress;femasculino;pix
2025-07-30 18:51:54.893026;96;Belo Horizonte;Joana Silva;Geladeira Sansung;William Ruiz;masculino;dinheiro
2025-05-05 11:42:54.893397;97;Belo Horizonte;Joana Silva;Geladeira Sansung;Karl Toro;masculino;boleto
2025-06-07 13:38:54.895587;98;Florianopoles;Isabale Gomes;Playstation 5;Angelica Patterson;femasculino;cartão de crédito
2025-07-23 11:49:54.896009;99;São Paulo;Lucas Pereira;Cama Solteiro Ortobom;Jerry Mason;masculino;pix
2025-08-24 12:37:54.896245;100;Copa Cabana;Carlos Silva;Playstation 5;Cristi Davis;femasculino;boleto
2025-10-11 20:48:54.897325;101;Recife;João Victor;Geladeira Sansung;Harold Lusk;masculino;cartão de crédito
2025-04-24 13:01:54.898262;102;Recife;João Victor;Smartwatch Sansung M3;Kenneth Carlson;masculino;dinheiro
2025-05-31 16:22:54.898505;103;Florianopoles;Paulo de Sousa;Playstation 5;Ryan Robinson;masculino;boleto
2025-10-14 20:43:54.898657;104;Florianopoles;Isabale Gomes;Cama Solteiro Ortobom;Deborah Soriano;femasculino;cartão de crédito
2025-04-01 12:19:54.900119;105;Florianopoles;Paulo de Sousa;Geladeira Sansung;Elizabeth Ellis;femasculino;cartão de crédito
2025-02-08 12:09:54.900343;106;São Paulo;Lucas Pereira;Smartphone Sansung Galaxy;Bao Rios;femasculino;dinheiro
2025-05-27 16:52:54.901949;107;Copa Cabana;Luis Costa;Smartphone Sansung Galaxy;Blossom Hernandez;femasculino;dinheiro
2025-02-03 11:41:54.903200;108;Belo Horizonte;Olivia Sousa;Playstation 5;Richard Ayers;masculino;cartão de crédito
2025-12-27 18:59:54.903560;109;Recife;João Victor;Playstation 5;Henry Williams;masculino;dinheiro
2025-10-27 11:05:54.903693;110;Belo Horizonte;Joana Silva;Smartwatch Sansung M3;Colleen Smith;femasculino;cartão de crédito
2025-05-26 15:56:54.903872;111;São Paulo;Lucas Pereira;Smartwatch Sansung M3;Leroy Overby;masculino;pix
2025-05-09 17:27:54.905648;112;Recife;Bruno Otavio;Geladeira Sansung;Lorraine Capriotti;femasculino;boleto
2025-06-11 13:59:54.923439;113;Belo Horizonte;Joana Silva;Smartphone Sansung Galaxy;Esther Sikes;femasculino;pix
2025-04-04 13:20:54.924660;114;Florianopoles;Isabale Gomes;Cama Solteiro Ortobom;Shiela Linton;femasculino;cartão de crédito
2025-10-06 14:30:54.926085;115;Belo Horizonte;Joana Silva;Smartwatch Sansung M3;Sylvia Lanius;femasculino;pix
2025-08-25 19:32:54.949409;116;Recife;Bruno Otavio;Cama Solteiro Ortobom;Alexandria Johnston;femasculino;dinheiro
2025-08-25 12:06:54.949960;117;Florianopoles;Isabale Gomes;Smartphone Sansung Galaxy;Jeffery Madlock;masculino;cartão de crédito
2025-05-01 13:55:54.958183;118;Copa Cabana;Carlos Silva;Playstation 5;Evette Serenil;femasculino;dinheiro
2025-03-17 13:02:54.981284;119;Belo Horizonte;Joana Silva;Playstation 5;Valencia Gookin;femasculino;cartão de crédito
2025-03-06 18:33:54.993364;120;Belo Horizonte;Olivia Sousa;Playstation 5;Andrew Jones;masculino;boleto
2025-10-24 14:03:54.993614;121;Florianopoles;Paulo de Sousa;Geladeira Sansung;Sara Marineau;femasculino;cartão de crédito
2025-09-02 15:52:55.014047;122;Belo Horizonte;Joana Silva;Cama Solteiro Ortobom;May Eddie;femasculino;boleto
2025-06-24 19:28:55.018962;123;São Paulo;Ana Oliveira;Smartwatch Sansung M3;Paul Navarro;masculino;dinheiro
2025-10-26 17:58:55.019315;124;Florianopoles;Isabale Gomes;Playstation 5;Sylvia Edson;femasculino;pix
2025-05-20 14:31:55.021808;125;São Paulo;Lucas Pereira;Cama Solteiro Ortobom;Arthur Hippler;masculino;pix
2025-05-09 10:42:55.030005;126;Copa Cabana;Luis Costa;Smartphone Sansung Galaxy;Kevin Craft;masculino;pix
2025-11-29 20:38:55.030518;127;Belo Horizonte;Olivia Sousa;Playstation 5;Josephine Mason;femasculino;pix
2025-12-12 11:29:55.030733;128;Belo Horizonte;Joana Silva;Playstation 5;Linda Mcnabb;femasculino;cartão de crédito
2025-09-11 18:39:55.031900;129;São Paulo;Ana Oliveira;Playstation 5;Micheal Westerman;masculino;dinheiro
2025-07-31 15:20:55.034446;130;Recife;João Victor;Playstation 5;Richard Walker;masculino;pix
2025-09-11 15:45:55.034577;131;Recife;Bruno Otavio;Smartwatch Sansung M3;Michael Mowers;masculino;pix
2025-04-04 15:28:55.041286;132;Florianopoles;Isabale Gomes;Geladeira Sansung;Bill Caudill;masculino;boleto
2025-07-15 13:12:55.042068;133;Recife;Bruno Otavio;Geladeira Sansung;Gregory Biermann;masculino;dinheiro
2025-12-24 16:46:55.048102;134;Belo Horizonte;Joana Silva;Smartphone Sansung Galaxy;Lynne Ashlock;femasculino;cartão de crédito
2025-06-25 12:06:55.052697;135;Copa Cabana;Carlos Silva;Cama Solteiro Ortobom;Portia Wyche;femasculino;cartão de crédito
2026-01-02 13:36:55.055172;136;Florianopoles;Paulo de Sousa;Smartphone Sansung Galaxy;Jo Richmond;femasculino;cartão de crédito
2025-05-25 14:18:55.055874;137;Florianopoles;Isabale Gomes;Cama Solteiro Ortobom;Michael Horney;masculino;boleto
2025-07-20 16:16:55.064240;138;Copa Cabana;Luis Costa;Smartwatch Sansung M3;Martha Turner;femasculino;boleto
2025-09-16 13:42:55.064560;139;Copa Cabana;Carlos Silva;Playstation 5;Ruthie Shaw;femasculino;boleto
2025-12-31 11:40:55.064992;140;São Paulo;Ana Oliveira;Playstation 5;Sarah Birden;femasculino;pix
2025-12-13 15:37:55.073667;141;Florianopoles;Isabale Gomes;Smartphone Sansung Galaxy;Paul Burke;masculino;dinheiro
2025-06-08 10:50:55.074003;142;Belo Horizonte;Olivia Sousa;Smartphone Sansung Galaxy;Donald Long;masculino;boleto
2025-12-17 18:23:55.074164;143;Copa Cabana;Luis Costa;Smartwatch Sansung M3;Suzanne Current;femasculino;cartão de crédito
2025-11-16 19:36:55.078255;144;Copa Cabana;Carlos Silva;Smartphone Sansung Galaxy;Doris Johnson;femasculino;boleto
2025-06-03 20:01:55.078404;145;Copa Cabana;Luis Costa;Geladeira Sansung;Carolyn Williams;femasculino;dinheiro
2025-09-10 09:59:55.078530;146;Belo Horizonte;Olivia Sousa;Smartphone Sansung Galaxy;Damon Sandifer;masculino;cartão de crédito
2025-07-03 15:38:55.080884;147;São Paulo;Lucas Pereira;Cama Solteiro Ortobom;Derrick Sigler;masculino;boleto
2025-02-18 10:25:55.082214;148;Copa Cabana;Luis Costa;Cama Solteiro Ortobom;Charlotte Upshaw;femasculino;boleto
2026-01-14 18:24:55.083675;149;São Paulo;Lucas Pereira;Playstation 5;Keith Cruse;masculino;cartão de crédito
2025-02-13 18:33:55.085198;150;São Paulo;Ana Oliveira;Smartwatch Sansung M3;Josephine Marks;femasculino;boleto
2025-07-29 10:39:55.085572;151;São Paulo;Ana Oliveira;Playstation 5;Silvia Alvarado;femasculino;pix
2025-10-06 16:34:55.085971;152;São Paulo;Lucas Pereira;Smartphone Sansung Galaxy;Robert Mcdonald;masculino;dinheiro
2025-11-05 15:14:55.086113;153;São Paulo;Ana Oliveira;Smartphone Sansung Galaxy;Brad Cervantes;masculino;cartão de crédito
2025-12-25 16:35:55.086694;154;Copa Cabana;Luis Costa;Cama Solteiro Ortobom;Michael Loven;masculino;dinheiro
2025-03-10 12:05:55.100994;155;São Paulo;Lucas Pereira;Playstation 5;Kurt Prosper;masculino;dinheiro
2025-03-12 11:45:55.110124;156;São Paulo;Lucas Pereira;Smartphone Sansung Galaxy;Carlos Bufkin;masculino;cartão de crédito
2025-04-30 11:03:55.115621;157;Florianopoles;Paulo de Sousa;Playstation 5;Bonnie Cisco;femasculino;boleto
2025-05-11 15:49:55.117871;158;Copa Cabana;Luis Costa;Smartwatch Sansung M3;Karen Folks;femasculino;dinheiro
2025-01-31 16:45:55.121655;159;Recife;João Victor;Geladeira Sansung;Bertha Marcinkowski;femasculino;boleto
2025-05-15 17:21:55.132665;160;Florianopoles;Isabale Gomes;Playstation 5;Elsie Stringer;femasculino;pix
2025-02-07 18:45:55.133568;161;Recife;João Victor;Playstation 5;Terrence Jackson;masculino;boleto
2025-10-09 19:03:55.133818;162;Florianopoles;Paulo de Sousa;Playstation 5;Joe Bergman;masculino;pix
2025-11-11 15:09:55.134596;163;Florianopoles;Paulo de Sousa;Smartphone Sansung Galaxy;Russell Story;masculino;dinheiro
2025-03-12 19:30:55.135271;164;Copa Cabana;Luis Costa;Cama Solteiro Ortobom;Jack Headley;masculino;cartão de crédito
2025-07-18 20:27:55.136633;165;São Paulo;Lucas Pereira;Geladeira Sansung;Helen Benton;femasculino;dinheiro
2026-01-06 15:24:55.137030;166;Florianopoles;Paulo de Sousa;Cama Solteiro Ortobom;Rebecca Curley;femasculino;boleto
2025-09-11 12:07:55.138035;167;São Paulo;Lucas Pereira;Playstation 5;Albert Cleghorn;masculino;pix
2025-05-26 10:03:55.141341;168;Belo Horizonte;Joana Silva;Smartwatch Sansung M3;Richard Phillips;masculino;dinheiro
2025-09-29 11:19:55.141666;169;Copa Cabana;Luis Costa;Playstation 5;Clayton Phillips;masculino;dinheiro
2025-10-08 15:13:55.141992;170;Recife;João Victor;Geladeira Sansung;Scott Culp;masculino;dinheiro
2025-07-18 17:20:55.143527;171;Recife;Bruno Otavio;Playstation 5;Betty Grayson;femasculino;boleto
2025-08-12 13:33:55.144663;172;Florianopoles;Paulo de Sousa;Geladeira Sansung;Brittany Rosa;femasculino;cartão de crédito
2025-02-14 19:04:55.145252;173;Belo Horizonte;Olivia Sousa;Cama Solteiro Ortobom;Carolyn Jimenez;femasculino;boleto
2025-12-30 14:09:55.145499;174;São Paulo;Ana Oliveira;Smartphone Sansung Galaxy;Mark Williams;masculino;dinheiro
2025-06-19 20:03:55.145623;175;São Paulo;Ana Oliveira;Smartphone Sansung Galaxy;George Ryan;masculino;boleto
2025-04-11 14:21:55.145805;176;Belo Horizonte;Olivia Sousa;Cama Solteiro Ortobom;James Parker;masculino;pix
2025-05-31 10:35:55.145951;177;São Paulo;Lucas Pereira;Geladeira Sansung;Barbara Stone;femasculino;cartão de crédito
2025-09-18 15:49:55.146115;178;Belo Horizonte;Joana Silva;Geladeira Sansung;Neil Gate;masculino;boleto
2025-12-28 11:32:55.159885;179;Recife;Bruno Otavio;Smartwatch Sansung M3;Rafael Marlor;masculino;dinheiro
2025-08-25 16:14:55.175395;180;São Paulo;Lucas Pereira;Playstation 5;Jenny Parham;femasculino;boleto
2025-04-28 17:25:55.176298;181;Belo Horizonte;Olivia Sousa;Playstation 5;Alejandro Weinstein;masculino;boleto
2025-11-17 14:44:55.177521;182;Belo Horizonte;Olivia Sousa;Smartwatch Sansung M3;Audrey Digangi;femasculino;cartão de crédito
2025-11-11 10:21:55.189285;183;Copa Cabana;Carlos Silva;Playstation 5;Ruth Oneill;femasculino;cartão de crédito
2025-07-22 10:40:55.190208;184;Belo Horizonte;Olivia Sousa;Cama Solteiro Ortobom;Marissa Castro;femasculino;boleto
2025-05-28 12:34:55.190726;185;Copa Cabana;Carlos Silva;Geladeira Sansung;Dion Snow;masculino;pix
2025-12-08 16:16:55.191322;186;Copa Cabana;Carlos Silva;Playstation 5;Joanna Letson;femasculino;dinheiro
2025-10-24 16:26:55.196845;187;São Paulo;Lucas Pereira;Cama Solteiro Ortobom;John Sims;masculino;boleto
2025-08-29 16:31:55.197455;188;Copa Cabana;Luis Costa;Smartphone Sansung Galaxy;Anthony Harrison;masculino;pix
2025-03-10 17:30:55.197777;189;Belo Horizonte;Olivia Sousa;Smartwatch Sansung M3;Joshua Fox;masculino;dinheiro
2025-04-05 16:41:55.197990;190;Copa Cabana;Carlos Silva;Smartphone Sansung Galaxy;Patsy Halladay;femasculino;dinheiro
2025-07-27 20:40:55.204239;191;Belo Horizonte;Olivia Sousa;Cama Solteiro Ortobom;Penny Rice;femasculino;dinheiro
2025-11-23 13:34:55.204607;192;Belo Horizonte;Joana Silva;Cama Solteiro Ortobom;Ann Madlung;femasculino;pix
2025-12-01 17:23:55.234902;193;Belo Horizonte;Olivia Sousa;Smartphone Sansung Galaxy;Peter Frey;masculino;dinheiro
2025-10-31 11:40:55.235660;194;São Paulo;Lucas Pereira;Smartphone Sansung Galaxy;Michael Crockett;masculino;pix
2025-02-07 20:26:55.236244;195;Florianopoles;Isabale Gomes;Playstation 5;Tyler Fulton;masculino;pix
2025-05-05 10:23:55.236712;196;Belo Horizonte;Joana Silva;Smartphone Sansung Galaxy;Daniel Wells;masculino;cartão de crédito
2025-10-12 16:10:55.236860;197;Copa Cabana;Luis Costa;Smartphone Sansung Galaxy;Tyrone Hilchey;masculino;boleto
2025-12-13 18:05:55.247274;198;Recife;Bruno Otavio;Smartphone Sansung Galaxy;Kay Grant;femasculino;boleto
2025-11-25 11:46:55.247658;199;São Paulo;Ana Oliveira;Smartwatch Sansung M3;Amalia Glass;femasculino;cartão de crédito
2025-11-13 13:07:55.248330;200;Florianopoles;Isabale Gomes;Smartwatch Sansung M3;Elwood Przewozman;masculino;dinheiro
2025-09-23 19:16:55.267672;201;Recife;Bruno Otavio;Playstation 5;John Brown;masculino;dinheiro
2025-08-30 10:07:55.267958;202;Belo Horizonte;Olivia Sousa;Smartwatch Sansung M3;Larry Weimer;masculino;cartão de crédito
2025-07-11 17:13:55.269988;203;Florianopoles;Isabale Gomes;Playstation 5;Richard Pina;masculino;boleto
2025-10-18 18:44:55.270732;204;Recife;João Victor;Smartphone Sansung Galaxy;Misty Simmons;femasculino;dinheiro
2025-02-11 19:42:55.270994;205;Copa Cabana;Carlos Silva;Smartphone Sansung Galaxy;Bryan Watts;masculino;pix
2025-06-21 10:09:55.271240;206;Recife;João Victor;Geladeira Sansung;Jonathan Downie;masculino;dinheiro
2025-09-09 13:34:55.276479;207;Florianopoles;Isabale Gomes;Smartwatch Sansung M3;Elizabeth Miller;femasculino;boleto
2025-12-16 15:30:55.276827;208;Florianopoles;Paulo de Sousa;Playstation 5;Michael So;masculino;dinheiro
2025-07-21 11:32:55.280401;209;Recife;Bruno Otavio;Smartwatch Sansung M3;Rosie Leri;femasculino;cartão de crédito
2025-09-22 15:00:55.304708;210;Florianopoles;Paulo de Sousa;Smartwatch Sansung M3;Tessa Ward;femasculino;cartão de crédito
2025-04-21 14:58:55.305353;211;São Paulo;Lucas Pereira;Smartwatch Sansung M3;Alberto Johnson;masculino;dinheiro
2025-10-29 14:11:55.305885;212;Florianopoles;Paulo de Sousa;Smartwatch Sansung M3;Mike Summerlin;masculino;dinheiro
2025-05-11 20:56:55.307700;213;Copa Cabana;Carlos Silva;Smartphone Sansung Galaxy;Donald Stilson;masculino;dinheiro
2025-07-30 12:37:55.312767;214;São Paulo;Ana Oliveira;Smartwatch Sansung M3;Ramon Tucker;masculino;dinheiro
2025-04-01 11:44:55.313095;215;Recife;João Victor;Smartwatch Sansung M3;Orville Mejia;masculino;pix
2025-07-12 13:57:55.313624;216;Recife;João Victor;Geladeira Sansung;David Waller;masculino;pix
2025-01-31 18:19:55.314010;217;Florianopoles;Isabale Gomes;Cama Solteiro Ortobom;Michael Latimer;masculino;pix
2025-05-31 20:02:55.315436;218;Copa Cabana;Luis Costa;Playstation 5;Donna Brown;femasculino;boleto
2025-12-14 13:45:55.315564;219;Recife;João Victor;Playstation 5;Jane Ratliff;femasculino;boleto
2025-11-26 19:43:55.316036;220;Recife;Bruno Otavio;Cama Solteiro Ortobom;Judith Clark;femasculino;dinheiro
